"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/09/2023","AQS","150010005","1","1.7","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/10/2023","AQS","150010005","1","2.2","ug/m3 LC","12","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/11/2023","AQS","150010005","1","1.7","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/14/2023","AQS","150010005","1","1.2","ug/m3 LC","7","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/16/2023","AQS","150010005","1","0.5","ug/m3 LC","3","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/17/2023","AQS","150010005","1","-1.2","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/18/2023","AQS","150010005","1","-0.8","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/19/2023","AQS","150010005","1","-1","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/20/2023","AQS","150010005","1","0.4","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/21/2023","AQS","150010005","1","-1.3","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/22/2023","AQS","150010005","1","-1.5","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/23/2023","AQS","150010005","1","0.4","ug/m3 LC","2","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/24/2023","AQS","150010005","1","-1.4","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/25/2023","AQS","150010005","1","-1.1","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/26/2023","AQS","150010005","1","-1.1","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/27/2023","AQS","150010005","1","-0.7","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"02/28/2023","AQS","150010005","1","-0.7","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/01/2023","AQS","150010005","1","-0.9","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"03/02/2023","AQS","150010005","1","-1.7","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
